"","FID","admin_region","admin_district","municipality","year","month","hour","day_week","category","kind_accident","type_accident","accident_car","accident_passenger","accident_motor","accident_goodsroad","accident_other","LINREFX","LINREFY","XGCSWGS84","YGCSWGS84","road_surface_condition","day"
"149",9131,4,3,406,2016,8,7,3,3,6,7,0,1,0,0,0,566471.1546,5941318.1754,10.004860844,53.616448334,NA,30
"150",9140,1,3,106,2016,9,23,6,2,4,6,0,0,0,0,0,564425.6677,5933883.9396,9.972408889,53.549890602,NA,30
"151",9156,2,9,221,2016,12,14,3,3,5,3,1,0,0,0,0,556618.0963,5936245.9606,9.855008681,53.572019431,NA,13
"152",9157,4,5,410,2016,11,20,6,3,3,2,1,0,0,0,0,567013.242,5938407.1111,10.012428427,53.590217204,NA,11
"153",9174,1,3,107,2016,9,13,5,3,5,2,1,0,0,0,0,564985.058,5933783.4266,9.980829805,53.548918327,NA,29
"154",9179,1,3,106,2016,5,14,2,3,5,3,1,0,0,0,0,564515.7475,5933860.7931,9.973763517,53.549671517,NA,2
"155",9181,4,3,406,2016,11,9,2,3,5,2,1,0,0,0,0,565295.49,5939840.266,9.986781225,53.603313988,NA,14
"156",9183,3,9,321,2016,9,20,5,3,5,3,0,0,0,0,0,561808.7653,5937601.1693,9.933652078,53.58361333,NA,29
"157",9184,2,3,208,2016,9,9,5,3,5,3,0,0,0,0,0,563245.01,5935140.7,9.954845657,53.561329077,NA,1
"158",9193,3,9,321,2016,7,22,4,3,5,3,1,0,0,0,0,562315.3746,5936433.8685,9.941070504,53.573062446,NA,20
"159",9196,4,5,411,2016,4,18,6,3,5,2,1,0,0,0,0,567464.534,5937676.5822,10.019087347,53.583593978,NA,1
"160",9228,4,6,415,2016,6,17,3,3,3,6,0,0,0,0,0,567803.8956,5936492.8032,10.023955556,53.57291145,NA,21
"161",9236,3,5,317,2016,10,0,5,2,5,2,1,0,0,0,0,564111.2573,5937936.5057,9.9684959,53.586350652,NA,20
"162",9245,1,3,107,2016,10,12,2,3,5,2,1,0,0,0,0,564988.3396,5933782.3997,9.980879113,53.548908691,NA,24
"163",9252,1,4,111,2016,11,13,4,3,5,3,1,0,0,0,0,563828.132,5934799.676,9.963578364,53.558193596,NA,30
"164",9259,1,12,130,2016,7,13,1,3,0,6,1,0,0,0,0,573121.1497,5932647.7424,10.103340037,53.537642037,NA,10
"165",9262,3,5,317,2016,9,9,3,3,3,2,1,0,0,0,0,563958.7089,5938919.4872,9.966393349,53.595203587,NA,6
"166",9271,3,4,316,2016,6,7,5,3,3,2,1,0,0,0,0,564138.6643,5937815.1193,9.968884906,53.585256369,NA,16
"167",9280,1,6,117,2016,4,8,2,2,5,2,0,0,0,1,0,568401.7143,5933210.2026,10.03226361,53.54333271,NA,25
"168",9290,7,1,701,2016,9,17,2,3,5,2,0,0,0,1,0,564946.0944,5924418.4994,9.978301714,53.464757293,NA,12
"169",9303,4,8,419,2016,9,11,4,3,5,2,1,0,0,0,0,567519.53,5937433.25,10.0198653,53.581400044,NA,7
"170",9312,2,3,209,2016,7,16,6,3,5,3,1,0,0,0,0,562196.4378,5935384.3244,9.939065621,53.56364393,NA,29
"171",9313,7,10,711,2016,7,4,5,3,0,7,0,1,0,0,0,564970.5893,5924407.6197,9.978668379,53.464656492,NA,28
"172",9320,2,9,221,2016,6,18,5,3,5,2,1,0,0,0,0,556056.0444,5936334.1864,9.84653781,53.572872724,NA,9
"173",9326,4,2,403,2016,11,4,3,3,5,3,1,0,0,0,0,565125.0895,5938651.0833,9.983958064,53.592647774,NA,22
