_fid;anzahl;geschwindigkeit;von;bis;strichbreite;geom;coordinate_reference_system
DE.HH.UP_LETZTE_WOCHE_7615177;9;21.9;2025-03-17;2025-03-23;1.2;LINESTRING (569556.609909 5931868.722649,569566.385029 5931871.203330,569574.057191 5931872.429071,569583.131078 5931873.007857,569595.412666 5931871.853611,569606.247566 5931869.899178,569616.967955 5931866.719106,569646.172827 5931855.355103,569664.170417 5931848.721822,569690.535889 5931841.099396);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615178;9;20.6;2025-03-17;2025-03-23;1.2;LINESTRING (570181.137608 5931728.638230,570197.726208 5931718.759164,570247.483887 5931676.326050);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615179;9;21.6;2025-03-17;2025-03-23;1.2;LINESTRING (570405.747715 5931640.072033,570320.756790 5931648.708754,570291.941581 5931651.506600,570280.723062 5931652.452332,570272.561945 5931657.338063,570247.483887 5931676.326050);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615180;21;20.7;2025-03-17;2025-03-23;2.3;LINESTRING (567814.685252 5935984.069334,567754.262244 5935915.993597,567745.982893 5935906.750495);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615181;9;23.1;2025-03-17;2025-03-23;1.2;LINESTRING (567926.012455 5935097.513007,567933.591990 5935054.226819);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615182;9;21.9;2025-03-17;2025-03-23;1.2;LINESTRING (567941.265124 5935009.050399,567933.591990 5935054.226819);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615183;9;23.0;2025-03-17;2025-03-23;1.2;LINESTRING (567908.505241 5935199.963240,567922.812964 5935117.273014);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615184;20;20.8;2025-03-17;2025-03-23;2.2;LINESTRING (567113.190506 5937150.935540,567119.868802 5937137.678223,567129.886316 5937117.792264,567142.407789 5937089.485465,567146.046706 5937080.413154);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615185;13;19.6;2025-03-17;2025-03-23;1.6;LINESTRING (568397.541380 5938076.142489,568395.786420 5938092.140024);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615186;22;21.0;2025-03-17;2025-03-23;2.3;LINESTRING (568390.999473 5938143.700238,568393.640764 5938112.248911,568395.786420 5938092.140024);EPSG:25832
